Date,Close,Volumn,Single,RSI,SMA20,SMA21,EMA12,EMA26,EMA_fast,EMA_slow,MACD,SignalLine,BB_Upper,BB_Lower,MFI,OBV,ROC,MACD_tailor,Signalline_tailor,--,OBV 趨勢反轉,DSAM 連續up/down,MACD反轉,RSI突破,EMA12 vs EMA26,BB突破,MFI反轉,OBV vs ROC,MACD vs Signal Line,--,OBV P&L per position,DSAM P&L per position,MACD P&L per position,RSI P&L per position,EMA12 vs EMA26 P/L per position,BB突破 P&L per position,MFI反轉 P&L per position,OBV vs ROC P&L per position,MACD vs Signal Line P&L per position
2013-04-28,135.3,,Sell,,,,135.3,135.3,135.3,135.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-29,141.96,,Hold-,,,,136.3246153846154,135.79333333333335,136.324308,135.636996,0.5312820512820622,0.10625641025641244,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-30,135.3,,Hold-,,,,136.16698224852075,135.7567901234568,136.16676942959998,135.61994400240002,0.41019212506395775,0.16704355321792153,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-01,117,,Hold-,,,,133.21821574874832,134.36739826246,133.2189202913275,134.67777483587858,-1.1491825137116791,-0.09620166016799861,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-02,103.43,,Buy,,,,128.63541332586396,132.0757391319074,128.63738435052133,133.09663742918312,-3.4403258060434325,-0.7650264893430855,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-03,91.01,,Buy,,,,122.84688819880796,129.03383252954387,122.85029263741114,130.96705357526645,-6.186944330735912,-1.849410057621651,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-04,111.25,,Hold+,,,,121.0627515528375,127.71651160142952,121.06616762977731,129.96937066435797,-6.653760048592019,-2.810280055815725,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-05,116.79,,Sell,,,,120.40540516009327,126.907140371694,120.40849304831755,129.30249450874146,-6.501735211600732,-3.5485710869727267,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,
2013-05-06,118.33,,Sell,,,,120.08611205854046,126.27179664045741,120.0888208174863,128.74728628659915,-6.185684581916945,-4.075993785961571,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,
2013-05-07,106.4,,Buy,,,,117.98055635722655,124.79981170412724,117.98348017575691,127.61651360049724,-6.81925534690069,-4.624646098149395,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,
