date,mvrv,market_cap,price,supply
2013-01-01,1.77533304,141553700.388963804652114720165,13.3313714219755,10618089.91051183
2013-01-02,1.7682754,141065475.514102477937869043067,13.2806068129749,10621914.90951183
2013-01-03,1.78037669,142218776.596041042282024577696,13.3840811484512,10625964.90701183
2013-01-04,1.78670376,142988969.661088285701860355783,13.4517211496201,10629789.90351183
2013-01-05,1.78641402,143118110.53222579681355427949,13.459406766803,10633314.90101183
2013-01-06,1.79112313,143646517.734346627698678339883,13.5044965078901,10636939.90001183
2013-01-07,1.79609055,144251948.580306635621359303575,13.5560616578025,10641139.89901183
2013-01-08,1.82064961,146684458.576207880921567611934,13.7803506312098,10644464.89801183
2013-01-09,1.82378518,147161591.176368651369949983433,13.8209552565751,10647714.89701183
2013-01-10,1.85730887,150431420.6330076804648622212,14.12317285564,10651389.89451183
2013-01-11,1.86676138,151585555.620087335013215557416,14.2276211227352,10654314.89301183
2013-01-12,1.86299654,151486828.930019306423557360853,14.2142856560491,10657364.89301183
2013-01-13,1.85333941,150963772.341942583035907337399,14.1607882670953,10660689.89201183
2013-01-14,1.87068729,152695639.472410870865533918315,14.3179703202805,10664614.89001183
2013-01-15,1.86625363,152692733.035910570914202313176,14.3136377516072,10667639.88901183
2013-01-16,1.91141576,156945831.872052834558676755116,14.7078140479252,10670914.88651183
2013-01-17,2.0121271,166494616.26119420131792977558,15.598599739626,10673689.88501183
2013-01-18,2.01889919,167793020.998751082577156486686,15.7157911239042,10676714.88351183
2013-01-19,1.99859889,166489995.409498439465780734146,15.5881263997662,10680564.88251183
2013-01-20,2.01174993,167945212.400420163709739410278,15.7195921373466,10683814.88101183
2013-01-21,2.13015937,179340683.405174988181910350023,16.7810195207481,10687114.87901183
2013-01-22,2.1703499,184951279.277106890459347912164,17.3001788386908,10690714.87651183
2013-01-23,2.18559134,187531843.029219904644987740343,17.5363954228521,10693864.87401183
2013-01-24,2.09953529,180803844.8818156003091938894,16.90108607218,10697764.87201183
2013-01-25,2.15223509,186277774.020367328414054704541,17.4072020292227,10701189.87001183
2013-01-26,2.16087068,187913177.821931688489066399264,17.5536291760608,10705089.86701183
2013-01-27,2.18079976,191309887.265497826911574990711,17.8646280148217,10708864.86451183
2013-01-28,2.27526587,201334311.652999920881369721775,18.7942648743425,10712539.86251183
2013-01-29,2.32416991,209129236.716403054310194535572,19.5147141861484,10716489.86101183
2013-01-30,2.32557517,211591642.942260427310560143481,19.7374466864407,10720314.85651183
2013-01-31,2.38254625,219990240.129394999473876289354,20.5116430306838,10725139.85351183
2013-02-01,2.33077644,219330148.61057890153335644378,20.443091956166,10728814.85251183
2013-02-02,2.2350697,210745061.134671228357865300782,19.6359017054354,10732639.85001183
2013-02-03,2.32891208,220962040.164131401687296365946,20.5789396832262,10737289.84901183
2013-02-04,2.30317042,219559249.877270337114816470763,20.4404879614261,10741389.84801183
2013-02-05,2.31494333,221996328.467677002917504235618,20.6593447276446,10745564.84701183
2013-02-06,2.36137756,227975427.467001543289499667441,21.2085655318527,10749214.84551183
2013-02-07,2.44320117,237833763.173603139148829078018,22.1177651789246,10753064.84401183
2013-02-08,2.48951622,245120036.309128572255476270717,22.7873650499299,10756839.84401183
2013-02-09,2.57029343,255386181.091829035699299954679,23.7338601537113,10760414.84351183
2013-02-10,2.57573299,257273226.991190386885120706013,23.9002893571011,10764439.84201183
2013-02-11,2.61956557,263796794.864488420841405797999,24.4972726949153,10768414.84151183
