date,buy_frac,quote_vol,taker_buy_quote
2017-08-17,0.7752,3454770.05073206,2678216.40060401
2017-08-18,0.8117,5086958.30617151,4129123.31651808
2017-08-19,0.7215,1549483.73542151,1118001.87008735
2017-08-20,0.8068,1930364.39032646,1557401.3337373
2017-08-21,0.8064,2797231.71402728,2255662.55315837
2017-08-22,0.4363,3752505.77214051,1637188.36934226
2017-08-23,0.3118,4148686.46581968,1293567.09519463
2017-08-24,0.2634,3296476.41316476,868379.0641312
2017-08-25,0.1749,2484637.34936327,434577.13574645
2017-08-26,0.2468,977865.7333321,241363.80050245
2017-08-27,0.2908,1521580.06202557,442442.17937215
2017-08-28,0.2363,2591660.52579953,612364.20611134
2017-08-29,0.2393,2682483.73582991,641982.02068658
2017-08-30,0.2429,3683714.68666123,894620.23750883
2017-08-31,0.2381,2579878.72401184,614342.53390234
2017-09-01,0.2125,2665165.55924616,566254.43089734
2017-09-02,0.4083,4257723.944817,1738334.08541735
2017-09-03,0.3748,3121052.75230181,1169644.69159694
2017-09-04,0.4163,5909947.49008974,2460362.61291664
2017-09-05,0.4356,5083453.18675071,2214297.83961246
2017-09-06,0.5248,3626346.05544323,1903231.7409154
2017-09-07,0.482,2305795.13638315,1111299.24357466
2017-09-08,0.4118,4866527.22639337,2004277.28941755
2017-09-09,0.4382,2815383.46568698,1233627.00774409
2017-09-10,0.4421,2700371.80819211,1193884.03650449
2017-09-11,0.4606,2956842.76250147,1361869.71324406
2017-09-12,0.513,3725190.62328952,1911015.26637066
2017-09-13,0.3994,3570365.92571669,1425986.44091325
2017-09-14,0.4585,5914261.40460825,2711572.43635069
2017-09-15,0.4912,6588767.18669446,3236325.66838306
2017-09-16,0.4817,4804878.24721283,2314536.03271908
2017-09-17,0.4033,2466490.27859466,994843.63045949
2017-09-18,0.406,4069033.05715863,1651863.37125876
2017-09-19,0.2858,3558315.19743872,1016803.88177532
2017-09-20,0.5502,2839584.45308804,1562210.14983916
2017-09-21,0.518,3757043.07821264,1946238.63873747
2017-09-22,0.6096,3031771.43292849,1848104.61254174
2017-09-23,0.5746,2799706.99951511,1608679.14327472
2017-09-24,0.4407,2445788.43620041,1077964.32638088
2017-09-25,0.4109,2784170.85318322,1144089.17964881
2017-09-26,0.4288,2061195.57868009,883925.0185633
2017-09-27,0.5553,2554629.81447101,1418522.03112125
2017-09-28,0.4293,3553178.87037354,1525467.35780567
2017-09-29,0.4118,6571746.35900076,2706153.81551434
2017-09-30,0.4075,3088354.40084536,1258540.22252994
2017-10-01,0.4027,3137143.89184457,1263465.86667018
2017-10-02,0.4429,2905282.77570845,1286786.89051625
2017-10-03,0.4554,4627422.74283879,2107462.11039911
2017-10-04,0.3366,3676415.10054891,1237552.36930596
2017-10-05,0.45,3295532.82397779,1483036.83360606
2017-10-06,0.4467,2212035.12414239,988106.60264063
2017-10-07,0.4892,1302533.21459281,637146.85809303
2017-10-08,0.5405,2347356.46944654,1268660.82999198
2017-10-09,0.5441,3040508.90436387,1654274.63749423
2017-10-10,0.6521,5044283.86347582,3289613.76073974
2017-10-11,0.7168,3609240.90903919,2586977.71897445
2017-10-12,0.6231,6659759.29119366,4149667.59915114
2017-10-13,0.4667,10597340.30104987,4945786.36371635
2017-10-14,0.4468,5533972.4859947,2472775.20446234
2017-10-15,0.4481,7553650.20132813,3384776.70651666
2017-10-16,0.4707,8701914.79553535,4096285.84717841
2017-10-17,0.4818,8041662.31881055,3874630.11789208
2017-10-18,0.4481,12456909.97604373,5582555.96464678
2017-10-19,0.4608,10609368.77338359,4889254.26776489
2017-10-20,0.4203,11486552.1888066,4827682.43818362
2017-10-21,0.4788,10114821.44026351,4842552.09005084
2017-10-22,0.4104,8035415.37335629,3298113.25431534
2017-10-23,0.4047,10607190.98072695,4292971.67402233
2017-10-24,0.4373,14564495.85056032,6369508.22114772
2017-10-25,0.4841,12544847.89154201,6072831.20164732
2017-10-26,0.3963,11417126.63602561,4524676.60186949
2017-10-27,0.4456,8167069.73635031,3639525.74476665
